年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1997,45,40～64歳,650,6500000.0,421066.93866399623,1447196.7360320447,392200.0,252600.0,434045.0,208521.0,0.0,26000.0,668566.0,1313366.0,5186633.999999999,20.205630769230773,79.79436923076922,79.79436923076922,6.033846153846155,3.8861538461538467,6.677615384615386,3.208015384615385,0.0,0.4000000000000001,男性,0,True
1997,45,40～64歳,700,7000000.0,453456.70317661134,1558519.5618806644,470400.0,291700.0,465832.0,223795.2,0.0,28000.0,717627.2,1479727.2,5520272.8,21.138959999999997,78.86103999999999,78.86103999999999,6.72,4.167142857142857,6.654742857142858,3.197074285714286,0.0,0.4,男性,0,True
1997,45,40～64歳,750,7500000.0,485846.46768922644,1669842.3877292827,541400.0,327200.0,528849.0,254009.4,0.0,30000.0,812858.4,1681458.4,5818541.6,22.419445333333332,77.58055466666666,77.58055466666666,7.218666666666667,4.362666666666667,7.05132,3.386792,0.0,0.4,男性,0,True
1997,45,40～64歳,800,8000000.0,518236.2322018415,1781165.2135779017,621600.0,367300.0,560635.0,269283.0,0.0,32000.0,861918.0,1850818.0,6149182.0,23.135225000000002,76.864775,76.864775,7.7700000000000005,4.5912500000000005,7.0079375,3.3660375,0.0,0.4,男性,0,True
1997,45,40～64歳,850,8500000.0,550625.9967144567,1892488.03942652,701800.0,407400.0,592422.0,284557.2,0.0,34000.0,910979.2,2020179.2,6479820.8,23.76681411764706,76.23318588235294,76.23318588235294,8.256470588235294,4.792941176470588,6.969670588235294,3.347731764705882,0.0,0.4,男性,0,True
1997,45,40～64歳,900,9000000.0,583015.7612270718,2003810.865275139,781800.0,447400.0,624209.0,299831.4,0.0,36000.0,960040.4,2189240.4,6810759.6,24.324893333333332,75.67510666666666,75.67510666666666,8.686666666666666,4.971111111111111,6.935655555555556,3.33146,0.0,0.4,男性,0,True
1997,45,40～64歳,950,9500000.0,615405.5257396868,2115133.691123758,868400.0,490700.0,624765.0,315105.0,0.0,38000.0,977870.0,2336970.0,7163030.0,24.599684210526316,75.40031578947368,75.40031578947368,9.141052631578948,5.165263157894737,6.5764736842105265,3.3168947368421056,0.0,0.4,男性,0,True
1997,45,40～64歳,1000,10000000.0,647795.290252302,2226456.516972377,954800.0,533900.0,625322.0,330379.2,0.0,40000.0,995701.2,2484401.2,7515598.8,24.844012000000003,75.155988,75.155988,9.548,5.339,6.25322,3.3037919999999996,0.0,0.4,男性,0,True
1997,45,40～64歳,1050,10500000.0,680185.054764917,2337779.342820996,1046200.0,579600.0,625878.0,345652.8,0.0,42000.0,1013530.8,2639330.8,7860669.2,25.136483809523806,74.86351619047619,74.86351619047619,9.963809523809523,5.52,5.960742857142857,3.2919314285714285,0.0,0.4,男性,0,True
1997,45,40～64歳,1100,11000000.0,712574.819277532,2449102.168669615,1137600.0,644700.0,626435.0,360927.0,0.0,44000.0,1031362.0,2813662.0,8186338.0,25.578745454545455,74.42125454545454,74.42125454545454,10.341818181818182,5.860909090909091,5.694863636363636,3.2811545454545454,0.0,0.4,男性,0,True
